trans_date,trans_type,operation,amount,balance,k_symbol,bank,account
1833,2,4,11200.0,41898.9,0,0,0
756,2,1,1287.0,18167.3,1,3,41393333
362,2,4,1120.0,12744.3,0,0,0
1185,2,4,29600.0,61754.9,0,0,0
1572,0,2,4764.0,23795.2,2,12,80643486
2022,0,0,150.9,32222.1,7,0,0
1853,2,4,7400.0,-1139.8,0,0,0
1979,0,3,500.0,19117.3,0,0,0
957,2,4,14.6,38618.5,6,0,0
930,2,4,7800.0,37106.2,0,0,0
1481,0,3,24319.0,60298.1,0,0,0
1565,0,0,145.0,35463.3,7,0,0
834,2,4,14.6,27100.4,6,0,0
758,0,2,2956.0,14979.8,0,3,46188896
1900,0,0,81.0,20744.9,7,0,0
1414,0,0,157.2,35441.6,7,0,0
1039,2,4,3600.0,47336.0,0,0,0
1176,0,2,2902.0,22943.3,0,8,4666555
1110,0,0,98.6,15418.2,7,0,0
1821,2,1,263.0,39595.8,3,8,20428276
2022,0,0,184.0,45813.1,7,0,0
1626,2,4,14.6,43892.3,6,0,0
1788,2,4,4200.0,55507.8,0,0,0
1699,2,1,3835.0,54034.8,5,2,18348533
1776,2,4,5700.0,66552.6,0,0,0
1148,0,3,15208.0,35684.0,0,0,0
1535,2,4,14.6,46740.7,6,0,0
1467,2,4,5400.0,94515.4,0,0,0
2127,2,1,4129.0,66932.8,5,3,9654927
1235,2,4,4080.0,44750.8,0,0,0
2089,2,1,1444.0,15914.8,5,11,3712326
1914,2,1,3452.0,25724.1,5,13,78167122
1810,2,4,14.6,29573.6,6,0,0
1662,0,3,9376.0,41498.1,0,0,0
1761,2,4,3680.0,25114.9,0,0,0
1469,2,5,1800.0,48931.0,0,0,0
1239,0,3,6716.0,40780.9,0,0,0
1057,0,2,5885.0,34347.3,2,7,52298969
1053,0,3,21913.5,66727.2,0,0,0
1606,2,1,3844.0,31828.8,5,5,87907689
1693,2,4,18600.0,45601.1,0,0,0
1323,2,4,360.0,17886.3,0,0,0
1633,2,1,2881.0,22134.5,1,1,76028048
1354,0,3,3000.0,27228.7,0,0,0
1476,2,4,30.0,49528.0,6,0,0
1535,0,0,125.8,27513.9,7,0,0
1806,2,4,560.0,23939.2,0,0,0
1504,0,0,178.8,50228.0,7,0,0
1640,0,3,5355.0,25507.1,0,0,0
1749,0,0,287.9,71735.4,7,0,0
1231,2,4,14.6,66276.9,6,0,0
605,2,4,10900.0,36197.8,0,0,0
1779,0,0,120.0,27774.8,7,0,0
1812,2,4,5000.0,21774.2,0,0,0
1913,2,1,1210.0,28650.4,5,3,50436025
1735,0,3,10000.0,15783.6,0,0,0
1831,0,3,5100.0,18654.8,0,0,0
2053,2,4,14.6,27915.4,6,0,0
1092,2,4,8400.0,47879.1,0,0,0
1726,2,1,4035.0,73164.6,5,5,92903273
1571,2,1,2780.0,15147.3,5,10,95479797
993,2,1,3937.0,27306.0,5,11,90201395
1467,2,4,1200.0,25618.4,0,0,0
1489,2,4,15800.0,45831.1,0,0,0
350,2,4,1440.0,26669.2,0,0,0
1023,0,2,35742.0,69277.2,0,5,36552822
933,0,3,24309.0,62991.3,0,0,0
1544,2,1,1207.0,13592.1,5,9,91464036
1384,2,4,14.6,49160.3,6,0,0
597,2,1,152.0,27279.1,3,5,47741246
1163,2,4,1200.0,26082.4,0,0,0
610,1,4,16729.0,48784.5,0,0,0
844,2,1,3261.0,13803.9,5,3,63280850
1620,2,4,2300.0,32625.6,0,0,0
1267,2,1,1321.0,22366.9,1,3,96697401
1788,0,3,17073.0,47613.5,0,0,0
1121,0,2,3469.0,23143.7,0,5,60511863
1072,2,4,15700.0,32683.4,0,0,0
1361,2,1,3892.0,62601.5,5,6,33047658
1110,0,0,60.6,-2804.2,7,0,0
1079,0,0,34.7,11824.1,7,0,0
1699,1,4,22392.0,62848.7,0,0,0
1099,2,4,400.0,20476.1,0,0,0
1511,2,4,800.0,21251.5,0,0,0
2095,2,1,3400.5,66629.6,8,9,9464615
1841,0,0,53.3,13097.2,7,0,0
1450,2,4,1600.0,34628.8,0,0,0
2083,0,0,66.6,16368.9,7,0,0
1781,2,5,1000.0,52692.4,0,0,0
372,2,4,900.0,23729.1,0,0,0
1254,2,4,18000.0,15535.7,0,0,0
1879,2,1,9687.0,32058.4,5,13,41427993
1936,2,4,400.0,14947.6,0,0,0
1261,2,4,14.6,40528.4,6,0,0
1237,2,5,3600.0,23492.7,0,0,0
2022,0,0,132.3,31250.2,7,0,0
1905,2,1,6089.0,16863.6,3,13,45149773
1831,0,3,9025.0,84773.8,0,0,0
2029,0,2,3393.0,46735.8,0,11,85023396
1329,2,4,2640.0,44448.1,0,0,0
1688,0,0,189.4,49996.5,7,0,0
1848,2,1,2492.0,27181.3,5,3,60161107
742,0,3,21645.0,52704.3,0,0,0
1749,0,0,110.5,26441.8,7,0,0
2175,0,0,295.1,47703.3,7,0,0
2158,0,2,5054.0,28094.3,2,1,84573280
1729,2,4,1300.0,24634.5,0,0,0
1999,2,4,2900.0,43793.2,0,0,0
603,2,1,7591.0,36773.7,5,13,56959491
1567,2,4,5600.0,17119.8,0,0,0
1657,2,4,14.6,14394.8,6,0,0
2038,2,4,13600.0,14536.3,0,0,0
1810,0,0,378.6,98526.0,7,0,0
1018,2,4,14.6,35174.3,6,0,0
1991,2,4,14.6,68560.8,6,0,0
1461,2,4,2300.0,29953.1,0,0,0
1930,0,0,60.4,10216.1,7,0,0
602,2,1,4694.0,25124.5,1,11,1495051
1621,0,3,17010.0,58860.1,0,0,0
907,0,2,30818.0,63116.3,0,6,84885888
1459,0,3,500.0,67468.5,0,0,0
1447,2,4,2700.0,65927.2,0,0,0
1516,2,1,708.0,41386.5,8,2,88153653
694,2,1,9454.0,59344.9,5,3,67286312
1327,2,4,26400.0,52139.6,0,0,0
1869,2,4,14.6,27690.2,6,0,0
1966,0,2,50696.0,82297.4,0,13,58887272
1688,2,4,14.6,14157.8,6,0,0
1504,0,0,304.8,81212.8,7,0,0
745,2,4,14.6,35504.7,6,0,0
1212,2,4,5400.0,31887.8,0,0,0
535,2,1,1619.0,42116.1,1,6,85654091
265,0,3,23381.0,68976.4,0,0,0
1486,2,1,127.0,25379.1,1,10,98634075
2067,2,4,2800.0,36849.3,0,0,0
265,2,1,6492.0,30754.9,5,8,75135111
2022,2,4,14.6,64511.7,6,0,0
1535,2,4,14.6,21623.2,6,0,0
1824,2,1,4640.0,31289.8,5,11,65183514
1253,2,4,18600.0,53696.8,0,0,0
1018,2,4,30.0,39127.1,6,0,0
1087,2,4,2100.0,16369.6,0,0,0
695,2,1,4542.0,48298.4,8,13,92012846
937,2,1,1628.0,27724.6,5,13,46045607
1789,0,3,29184.0,86100.5,0,0,0
773,0,0,154.3,36022.0,7,0,0
801,2,4,21800.0,55611.0,0,0,0
2067,2,4,3300.0,23523.0,0,0,0
957,2,4,14.6,45107.5,6,0,0
1334,2,4,3400.0,24599.4,0,0,0
256,2,4,26900.0,49562.7,0,0,0
2097,2,1,1087.0,62811.7,3,8,51855623
2040,2,4,21900.0,90507.0,0,0,0
2061,0,2,37890.0,99060.3,0,8,41836589
1703,0,3,21576.0,79597.3,0,0,0
843,2,4,3500.0,33498.5,0,0,0
730,2,4,5200.0,19475.2,0,0,0
1428,2,1,118.0,62527.5,3,6,42836803
1362,0,3,28911.0,32836.0,0,0,0
1425,0,3,17811.0,51132.2,0,0,0
1878,2,4,400.0,43632.6,0,0,0
1384,0,0,10.6,7907.6,7,0,0
1694,2,1,2780.0,11585.3,5,10,95479797
1749,2,4,14.6,18422.6,6,0,0
963,2,1,1924.0,23614.4,5,2,91776167
2096,2,4,25200.0,19275.2,0,0,0
1509,2,1,3869.0,37854.6,5,2,83267962
1793,2,4,20900.0,51297.6,0,0,0
2053,2,4,36800.0,79312.4,0,0,0
1353,2,4,30.0,27863.7,6,0,0
1661,2,4,20100.0,34176.3,0,0,0
2053,2,4,14.6,12792.8,6,0,0
1323,0,0,136.8,29849.1,7,0,0
1182,2,1,1168.0,43880.1,5,3,6431270
1254,2,4,30100.0,49647.8,0,0,0
1772,2,4,1320.0,36544.1,0,0,0
1718,0,0,208.4,47691.9,7,0,0
1428,2,4,8100.0,73420.8,0,0,0
1533,2,4,900.0,21562.0,0,0,0
2169,2,4,22400.0,78219.4,0,0,0
653,2,4,14.6,36499.0,6,0,0
1971,2,4,61800.0,75032.5,0,0,0
1573,2,1,502.0,41859.0,5,4,19993174
1414,2,4,14.6,26400.7,6,0,0
1289,2,4,5600.0,20417.1,0,0,0
1949,2,4,8100.0,20472.4,0,0,0
1353,0,0,140.5,34294.4,7,0,0
1932,2,4,5400.0,14598.6,0,0,0
1579,0,3,36553.0,147448.6,0,0,0
2154,2,4,27400.0,38337.4,0,0,0
1850,0,3,1900.0,17780.1,0,0,0
1974,2,1,3781.0,39779.2,5,11,28111076
1110,2,4,14.6,30602.4,6,0,0
2114,2,4,14.6,14675.5,6,0,0
1841,2,4,14.6,41294.5,6,0,0
1785,2,1,137.0,61534.0,3,10,34692824
500,2,4,14.6,19577.3,6,0,0
1109,0,3,48841.0,82980.4,0,0,0
1657,2,4,14.6,49011.6,6,0,0
1967,0,3,3600.0,55351.1,0,0,0
1825,2,4,1320.0,40317.6,0,0,0
2157,2,1,82.0,29708.5,1,11,19039827
1628,2,4,4600.0,31245.3,5,0,0
1056,0,2,56835.0,82727.8,0,8,41836589
733,0,3,8186.0,29888.0,0,0,0
1817,2,4,810.0,14273.5,0,0,0
980,2,4,57500.0,55936.0,0,0,0
2126,2,1,4676.0,58030.7,3,4,36498862
561,2,4,14.6,59287.2,6,0,0
1822,2,1,7440.5,45114.3,8,2,69176065
1900,0,0,75.7,15412.2,7,0,0
950,0,3,1900.0,30870.9,0,0,0
1509,0,3,32086.0,93215.8,0,0,0
1961,2,4,14.6,81159.1,6,0,0
1816,2,1,1580.0,37218.4,1,5,9999049
697,2,4,1100.0,30671.2,0,0,0
1148,2,1,3489.0,45788.7,1,11,29040438
1966,2,1,1547.0,23047.7,5,10,47490662
1848,0,3,22650.0,68028.9,0,0,0
1902,2,5,1800.0,43584.3,0,0,0
1515,0,3,4393.0,42399.3,0,0,0
1148,2,1,1317.0,11060.7,1,1,66884094
1961,2,4,14.6,33051.1,6,0,0
1991,2,4,14.6,79478.5,6,0,0
1391,0,2,5836.0,31060.9,2,7,39158690
1749,0,0,362.2,91309.6,7,0,0
1027,0,3,500.0,500.0,0,0,0
